,weight,source,target
715,3,art,piano
716,6,art,picoftheday
717,1,art,picture
718,1,art,pictures
719,3,art,pink
720,1,art,pintura
721,1,art,pixel
722,1,art,pixelart
723,3,art,piyano
724,1,art,planetary
725,1,art,planets
726,2,art,plants
727,2,art,poem
728,1,art,poemoftheday
729,1,art,poems
730,1,art,poet
731,4,art,poetry
732,1,art,poetrycommunity
733,1,art,poetryofinstagram
734,1,art,poetryporn
735,1,art,poetryslam
736,1,art,poets
737,1,art,poetsociety
738,2,art,poetsofinstagram
739,1,art,pool
740,2,art,popsurealist
741,1,art,portait
742,1,art,portaitart
743,5,art,portrait
744,1,art,portraitpainting
745,1,art,portraitphotography
746,1,art,posca
747,1,art,positive
748,2,art,positivevibes
749,2,art,pottery
750,2,art,potterytogo
751,1,art,practice
752,1,art,pretty
753,1,art,prismacolor
754,1,art,pro
755,3,art,procreate
756,1,art,profissionalorganizer
757,1,art,progress
758,1,art,prohennaartist
759,1,art,projects
760,1,art,puppies
761,1,art,puppy
762,1,art,quarantena
763,1,art,quarantine
764,1,art,quarantineactivities
765,1,art,quarantineandchill
766,1,art,quarantineartclub
767,1,art,quarantined
768,1,art,quarendance
769,1,art,quarentena
770,1,art,quarintine
771,1,art,queer
772,3,art,quote
773,2,art,quoteoftheday
774,3,art,quotes
775,1,art,quotesaboutlife
776,1,art,quotesanakmuda
777,1,art,quotesbgs
778,1,art,quotesdaily
779,1,art,quotesoftheday
780,1,art,quotessavage
781,1,art,quotestagram
782,1,art,quotestoliveby
783,1,art,r4r
784,1,art,recent4recent
785,1,art,relax
786,1,art,rendering
787,1,art,renderlover
788,1,art,repost
789,1,art,research
790,1,art,resim
791,1,art,resital
792,1,art,restiamoacasa
793,1,art,retreat
794,1,art,rihanna
795,1,art,risco
796,1,art,rnb
797,1,art,roaring20s
798,1,art,rose
799,1,art,roses
800,1,art,royaltyalbum
801,1,art,royaltybrownedits
802,1,art,rysunek
803,1,art,saiacustomizada
804,1,art,saigon
805,1,art,sale
806,1,art,sanat
807,1,art,sanatsal
808,1,art,santuyy
809,1,art,saralin
810,1,art,savage
811,1,art,scentedcandles
812,2,art,scketchbookart
813,2,art,screenprinting
814,1,art,sculpting
815,1,art,sculpturalart
816,1,art,sculpture
817,1,art,scultpure
818,1,art,sekatekniikka
819,1,art,selfcare
820,1,art,selfie
821,1,art,selfinsert
822,1,art,selfinsertxcanon
823,1,art,selfshipping
824,1,art,series
825,1,art,sew
826,2,art,sewing
827,1,art,shades
828,1,art,shading
829,1,art,shayari
830,1,art,ship
831,2,art,shooting
832,1,art,simonbardo
833,1,art,sing
834,1,art,singing
835,2,art,skechbookart
836,10,art,sketch
837,10,art,sketchbook
838,2,art,sketchbookart
839,2,art,sketchbookdrawing
840,2,art,sketches
841,3,art,sketching
842,1,art,skill
843,1,art,sky
844,1,art,smallbusiness
845,2,art,smile
846,1,art,smoking
847,1,art,sobhankhademi
848,1,art,socialdistancing
849,1,art,solarsystem
850,1,art,solo
851,1,art,somali
852,1,art,somalia
853,1,art,sondrio
854,1,art,sony
855,1,art,southernillinois
856,1,art,soycandles
857,1,art,soywax
858,1,art,space
859,1,art,spiritual
860,1,art,sportingart
861,2,art,spring
862,1,art,staedtler
863,1,art,star
864,1,art,stargazing
865,1,art,stars
866,1,art,statigram
867,3,art,stayhome
868,1,art,staysafe
869,1,art,steampunk
870,1,art,stilllife
871,1,art,stitchandneedle
872,1,art,stone
873,1,art,stonedecoration
874,1,art,stop
875,1,art,story
876,1,art,street
877,1,art,streetdance
878,1,art,streetstorytelling
879,1,art,streetstyle
880,1,art,studio
881,1,art,studiokaelin
882,4,art,style
883,1,art,styleoftheday
884,1,art,success
885,2,art,summer
886,1,art,sun
887,2,art,sunset
888,1,art,sunshine
889,1,art,suport
890,1,art,surfacedesign
891,1,art,surfacepatterndesign
892,1,art,sustainability
893,1,art,sustainablefashion
894,2,art,sweet
895,1,art,sztuka
896,1,art,tags
897,1,art,taide
898,1,art,taidekeskusahjo
899,1,art,taidemaalaus
900,1,art,talent
901,1,art,tatoo
902,3,art,tattoo
903,1,art,tattooartist
904,1,art,tattooer
905,1,art,tattooideas
906,1,art,tattoois
907,1,art,tattoolove
908,1,art,tattoos
909,1,art,tattoosleeve
910,1,art,taxidermyart
911,1,art,tea
912,1,art,textiledesign
913,1,art,textiles
914,1,art,theaccidentalartistjv
915,1,art,thekissbetkissbetwebtoon
916,1,art,thenetherlands
917,1,art,thereturnoftheking
918,1,art,theteadragonsociety
919,1,art,thingstodoinjacksonville
920,1,art,thoughts
921,1,art,throwback
922,1,art,tolkien
923,1,art,tolkienart
924,1,art,tolkienbooks
925,1,art,tolkienfan
926,1,art,tombowpens
927,1,art,traditional
928,1,art,traditionalart
929,1,art,traditionalbride
930,1,art,traditionalhome
931,1,art,trance
932,1,art,trapmusic
933,3,art,travel
934,1,art,travelphotography
935,1,art,trendy
936,1,art,trip
937,1,art,tropical
938,1,art,true
939,1,art,tulipkaoruko
940,1,art,twinmotion
941,1,art,typography
942,1,art,ukraine
943,1,art,unity
944,1,art,unity2d
945,1,art,universe
946,1,art,university
947,1,art,upcomingartist
948,1,art,upperchesapeakebay
949,1,art,urban
950,1,art,urbandance
951,1,art,usa
952,1,art,vaporwave
953,1,art,varese
954,2,art,venus
955,1,art,vibe
956,2,art,vibes
957,1,art,vibrant
958,1,art,video
959,1,art,vietnam
960,1,art,vintage
961,1,art,vintagefashion
962,1,art,viral
963,2,art,visualart
964,1,art,vituart
965,1,art,voice
966,1,art,volum
967,3,art,vscocam
968,1,art,vscoedit
969,1,art,vscofilter
970,1,art,wabisabi
971,1,art,wallart
972,4,art,watercolor
973,1,art,watercolorpainting
974,1,art,waterfowl
975,1,art,webtoon
976,1,art,webtoonfanart
977,1,art,wedding
978,1,art,weddingthings
979,1,art,weekendactivity
980,1,art,white
981,1,art,wires
982,1,art,witch
983,1,art,witchy
984,1,art,wkwkwk
985,1,art,women
986,2,art,woodcarved
987,1,art,wordgasm
988,1,art,wordporn
989,2,art,words
990,1,art,wordsmith
991,1,art,wordsofwisdom
992,3,art,work
993,2,art,workout
994,1,art,worldwide
995,1,art,wow
996,2,art,writer
997,1,art,writers
998,1,art,writerscommunity
999,1,art,writersofig
1000,3,art,writersofinstagram
1001,1,art,writing
1002,2,art,yanart
1003,1,art,yomequedoencasamoon
1004,1,art,zaowouki
1005,1,artexhibition,2017
1006,1,artexhibition,2020
1007,2,artexhibition,abstract
1008,1,artexhibition,abstractagram
1009,16,artexhibition,abstractart
1010,1,artexhibition,abstractartists
1011,1,artexhibition,abstractexpression
1012,4,artexhibition,abstractexpressionism
